english term	urdu equivalent	suggestions only
state, high state, low state, true, false	حال، بلند حال، پست حال، درست، غلط	
static field, electrostatic	ساکن میدان، برقی سکون	
Steady: steady state solution	برقرار: برقرار حالت حل	
steady flow	یکساں بہاؤ	
steady state, transient state	برقرار چالو، عارضی صورت	
steady, steady state,steady state operation	یکساں حالت، برقرار: یکساں حال میں چالو	
steel, (stainless steel)	فولاد (بے زنگ فولاد)	
Steiner theorem (Jacob Steiner)	مسئلہ سٹائنر؛ یعقوب سٹائنر	
step by step method	قدم با قدم ترکیب	
step length	لمبائی قدم	
steps, different steps	اقدام، چال، مختلف مراحل	
steps: take steps	اقدام اٹھانا	
step; (h in euler iteration method)	قدم	
step function (oliver heaviside)	 سیڑھی تفاعل: اکائی سیڑھی تفاعل، الیور ہیوی سائیڈ	
stereographic projection	مجسم نگارانہ تظلیل	
stiff, stiffness	سخت، سختی، (اکڑ، اکڑا، اکڑا پن،  کڑا پن)	
Stirling formula: James Stirling	کلیہ سٹرلنگ: جیمس سٹرلنگ	
stochastic; stochastic process	امکانی شماریات؛ امکانی شماریاتی عمل	
Stokes theorem (George Gabriel Stokes)	مسئلہ سٹوکس (جارج جبرائیل سٹوکس)	
store	ذخیرہ	
straight line	خط مستقیم	
strategy	لائحہ عمل	
straw	چسنا، چسنی	
stray: inductance	غیر مطلوب: امالہ	
streamlines	سمت بہاو	سیل، دھار؟؟؟
stream function	تفاعل بہاو	
strength: strength of impulse function	زور	
stretch	تان	
strong dependence	زیادہ تابعیت	
strongly depend	زیادہ تابع ہے	
stub; matching stub (transmission lines)	ہمہ رکاوٹی بنانے والا تار کا ٹکڑا، تار کا ٹکڑا، ٹکڑا تار	
study	مطالعہ	
Sturm-liouville problems; jacques charles francois sturm, joseph liouville	سٹیورم لیوویل مسئلہ؛ جیکویس چارلس فرانکوئس سٹیوورم، یوسف لییویل	
sub: sub interval	ذیلی: ذیلی وقفہ	
success	کامیابی	
successive correction	یک بعد دیگرے	مسلسل اصلاح
subscript, superscript	زیر نوشت، زیر بالا	
substrate	زیریں	
subsidiary equation (Laplace)	ضمنی مساوات	
substitution (method of integration and homogeneous equations)	ترکیب بدل	matric
subtraction, addition	تفریق، جمع	جمع، منفی
sufficient (condition, maths), insufficient	کافی، نا کافی	 
sufficiently small	کافی چھوٹا	
suggestive	معنی خیز، محرک خیال، خیال آفریں	
suggests	ہمیں خیال آتا ہے	
suitable	موزوں	
summary	خلاصہ، اختصار، اجمال	
summation: lower (upper) limit of summation	مجموعی سلسلہ کا زیریں (بالائی) حد	note that the summation limits are the lowest and highest terms
sum: lower (upper) limit of sum	مجموعہ کا زیریں (بالائی) حد	whereas the limit of a sum is the limit of the sum’s total value
summation mark	علامت مجموعہ	
superimposed	منطبق	
superposition theorem	مسئلہ نفاذ	مسئلہ خطی میل (ہندستانی میٹرک کے تحت انطباق)
super node	مخلوط جوڑ	
supply: DC voltage; AC current	یک سمت منبع برقی دباو، بدلتا منبع برقی رو، منبع طاقت	
supply: voltage, current	پیدا کار برقی دباؤ، برقی رو	
surds and indices (index)	غیر ناطق جذر اور طاقت	must look for the terms used in matric
surface (plane)	سطح (مستوی)	a surface may not be a plane
surface of revolution	سطح گردش	سطح طواف
Susceptance; 1/Z=G+jB;  G=conductance and B=susceptance, 	تاثریت	
susceptibility, magnetic, electric	مقناطیسی اثر پذیری، برقی اثر پذیری	
suspension bridge	معلق پل	
sweep	جھاڑنا	
sweep; sweeps equal area in equal times	مساوی اوقات میں مساوی رقبوں کو واضح کرتا ہے	
swimming pool	تالاب تیراکی	
switch on, switch off	چالو، بند	
switch	سوئچ	
switch board (telephone)	سوئچ بورڈ	
switch: spst, spdt, dpst, dpdt	ایک قطب ایک چال سوئچ، ایک قطب دو چال سوئچ، دو قطب ایک چال سوئچ، دو قطب دو چال سوئچ	
Switzerland	سوئزرلینڈ	
symbol	علامت	
symmetry	تشاکل	
symmetry, translational, rotational	انتقالی تشاکل، گردشی تشاکل	میٹرک
symmetric	متشاکل تناسب	تشاکلی
symmetric matrix, skew symmetric matrix	تشاکلی قالب، منحرف تشاکلی قالب	
synchronous, synchronously	ہم عصر، قدم ملا کر چلنا	
synchronous generator	معاصر جنریٹر	معاصر برق زا
synchronous circuits, asynchronous circuits	باقائدہ اور بے قائدہ ادوار	
system	نظام	
systemetic	منظم، با قاعدہ	
Systems analysis	تجزیہ نظام	
takes into account	حساب رکھنا	
tally mark	نشان شمار	
tangents	مماسات	
tangent of an angle	نسبت مماس	
tangent plane	مماسی سطح، سطح مماس	مماسی مستوی
tangent circles (matric)	مماسہ دائرے	
tangent to a circle	دائرہ کا مماس	
tangential	مماسہ	
tangent,tangential	مماس۔ مماسی:سطح کو ایک نقطہ پر چھونے والا خط جو متقاطع نہ ہو	
tangential length	مماس کا طول	
tangent: loss tangent (waves)	مماس ضیاع	
target, target value	ہدف، مطلوبہ قیمت	
tank (water tank)	حوض، سبیل	
tautochrones	یکساں وقتی منحنی	
Taylor series: Brook Taylor	ٹیلر تسلس: بروک ٹیلر	
Tchebichef polynomials: Pafnuty Lvovich Tchebichef	پفنوٹی لوو وچ چبیشف۔  چبیشف کثیر رکنی	
technology	ٹیکنالوجی؟؟؟	فنیات
telescope, reflective	انعکاسی دوربین	
television	ٹیلی ویژن	
Temperature; absolute (kelvin)	حرارت، حتمی حرارت	مطلق حرارت
temperature:physical	جسمانی حرارت	
temperature: residual (big bang)	بقیہ حرارت	
tends to zero	تقریبا صفر	
tension	تناو	
tensile strength	تنشی مضبوطی	
tennis	ٹینس	
tensor	تناوی مستقل	
Tera byte	ٹیرا بائیٹ	
term (sequences and series)	جزو	
terminal voltage	حاصل برقی دباؤ، برقی سِروں پر حاصل برقی دباؤ	
terminals: electrical terminals	برقی سِرے	
terminal zero	ختمی صفر	
terminate at	مختتم ہوتا ہے	
terminology	اصطلاحات	
Tesla	ٹسلا	
test charge	پیمہ بار، پیمائشی بار	
Test (a test for something)	پرکھنا، پرکھ	
tests:extrinsic and intrinsic	بیرونی پرکھ، اندرونی پرکھ	 
test: Leibniz test	لیبنٹز پرکھ	
test: limit comparison test	پرکھ تقابل حد	
test: comparison test	تقابلی پرکھ	
test: derivative test	تفرقی پرکھ	
test:nonparametric, distribution-free	غیر مقدار معلوم پرکھ، تقسیم پاک پرکھ	
test: root test, ratio test, comparison test	جذری پرکھ، تناسبی پرکھ، تقابلی پرکھ	
test: nth root test	این واں جذر پرکھ	
test: direct comparison test, limit comparison test	بلا واسطہ تقابلی پرکھ، تقابل حد پرکھ	
testing	پرکھنا	
tetrahedron	چو سطحہ	
text book	درسی کتاب	
theorem	مسئلہ	
theorem: alternating series estimation theorem	مسئلہ بدلتے تسلسل کا اندازہ	
theorem: error estimation theorem	مسئلہ اندازہ باقی	
theorem: initial value theorem, final value theorem (Laplace)	مسئلہ ابتدائی قیمت، مسئلہ اختتامی قیمت	
theorem, corollary, lemma, proof, definition, remark	مسئلہ:ضمنی نتیجہ، مسلمہ قطیہ، ثبوت، تعریف، قابل توجہ	
theorem: linearization	مسئلہ خطی بنانا	
theory, theoretical	نظریہ، نظریاتی	
thermal	حراری	
thermal conductivity	حراری موصلیت	
thermal noise	حراری شور	
thermometer	تھرمامیٹر	
thermostatic switch	خود کار حراری سوئچ	
thevenin	تھوِنن	
thevenin: Leon Charles Thevenin	لیوں شارلس تھونن	
three dimensional	تین طرفہ	سہ بعدی
three phase system	تین دوری نظام	
threshold	دہلیز	
thyroid gland	غدود درقیہ	
tilt angle (polarized wave)	زاویہ جھکاو	
time constant	وقتی مستقل	
time domain: laplace transform	وقتی دائرہ کار	
Time-scaling theorem (Laplace)	مسئلہ متناسب وقت	
Time-shifting theorem (Laplace)	مسئلہ منتقلی وقت	
time period T	دوری عرصہ 	
time period: primitive time period	اولی دوری عرصہ	
timing	اوقات کار	
time delay, response time	دورانیہ ردِ عمل	
time: high time, low time,response or delay time	بلند دورانیہ، پست دورانیہ،دورانیہ ردِ عمل 	
time table	نظال الاوقات	
timings: rising edge, falling edge, rise time, fall time, propagation time	کنارہِ چڑھائی، کنارہِ اترائی، دورانیہ اترائی، دورانیہ چڑھائی، دورانیہ ردِ عمل	
Tolerance: values have 5% tolerance	خلل: قیمت میں پانچ فی صد خلل پایا جا سکتا ہے۔	چھوٹ
topic	موضوع	
torsion	مروڑ	
torsional vibration	مروڑی ارتعاش	
toroid, torus	چھلا، اندرسہ	
torque, moment arm	قوت مروڑ، مروڑی اثر کا بازو	قوت گردشہ (میٹرک ہندستان)
torque: moment of force	قوت کا معیار اثر	
total	کُل	
totality	کل تعداد	
total internal reflection	مکمل اندرونی انعکاس	
touch	مس	
trace (of matrix)	آثار قالب	
traffic	آمد و رفت	
trajectory	خط حرکت	گزرگاہ
transadmittance	فراوانی نما	پزیرش نما
transcendental equations	ماورائی مساوات	
transconductance, transresistance	موصلیت-نما، مزاحمت-نما	
transducer	مبدل	
transfer	منتقل	
transfer function: networks H(s)	تبادلی تفاعل	
transformer oil	ٹرانسفارمر تیل	
transform	تبادل	
transform, laplace transform	لاپلاس بدل	لاپلاس تبادل
transform: to transform	تبادلہ کرنا	
transformation: impedance transformation	برقی رکاؤٹ کا تبادلہ	
transformation:angular transformation, linear transformation	خطی تبادلہ یا خطی تبادل، زاویائی تبادلہ	
transient state, steady state	برقرار چالو، عارضی صورت	
transient, transient state,transient state operation	عارضی، عارضی حالت، عارضی حال میں چالو	
transistor: active mode	افزائندہ حال	
transistor: saturation mode	غیر-افزائندہ حال	
transistor: cutoff mode	منقطع حال	
transition probability	عبوری امکان	
transitional period	عبوری دور	
translation	مستقیم حرکت	
transmission coefficient	شرح ترسیل، ترسیلی مستقل	
transmitter	ٹرانسمٹر، مرسل، ترسیل کنندہ	
transmitting antenna	اخراجی اینٹینا	
transmission lines	ترسیلی تار	
transposition (of matrix)	تبدیلی محل	
transpose matrix G^T	تبدیل محل قالب	
transverse electric wave impedance, transverse magnetic wave impedance	عرضی برقی موج کی رکاوٹ، عرضی مقناطیسی موج کی رکاوٹ	
transverse wave	عرضی موج	
trapezium (matric)	ذوزنقہ	
trapezium rule	قاعدہ ذوزنقہ	
traverse	چلنا	
tree diagram	شکل شجرہ	
trend: positive trend, negative trend	مثبت رجحان، منفی رجحان	
TEM, TE, TM	عرضی برقی و مقناطیسی، عرضی برقی، عرضی مقناطیسی	
triad (maths, unit orthogonal vectors, fundamental orthogonal triad)	ثلاثہ قائمہ اکائی سمتیات	
trial	کوشش	matric
triangular lower matrix, triangular upper matrix	بالائی تکانی قالب، نچلا تکونی قالب	
triangular wave	تکونی موج	
triangle: right angle triangle	قائم مثلث	
trignometric ratio	تکونیاتی نسبتیں	
trignometric Fourier series	تکونیاتی  فوریئر تسلسل	
trihedron (maths)	سہ سطحی مجسم	
triple integral	تہرا تکمل	
triple product (scalar triple product)	غیر سمتی سہ ضرب	
triplet	تین کی جوڑی	
trisection (division  into three equal parts)	تثلیث	
Tri-state	سہ حال	
trivial solution (maths), non trivial solution	غیر اہم صفر حل، غیر صفر اہم حل	
truncation	حذف کرنا	
trochoid	زیر تدویری	
trough(shape)	کونڈا	
trough: (read wave)	نشیب	
true, false, high, low, high state	درست، غلط، بلند حال، پست حال	
truth table	فہرستِ درستگی	
tuned	ہمسر	
turbine: water turbine	چرخاب	
turns	چکر	
TV	ٹیلی ویژن	
two port network	چار سر دور	
twisted curve	بلدار منحنی	
typical value	علامتی قیمت	
ultraviolet	بالائے بصری شعاع	
unbiased	غیر جانب دارانہ	
uncovered charges	بے پردہ، نمودار	
undamped	بلا تقصیر	
undamped natural frequency	بلا تقصیر قدرتی تعدد	
undefined	غیر معین	
undeterminable	نا قابل معلوم	
undetermined: method of undetermined coefficients	نا معلوم عددی سر کی ترکیب	
under: area under the curve	رقبہ زیر منحنی	
under: under the assumption	زیر مفروضہ	
under damped	کم مقصور	
under root (square root)	جذر	
unicode, utf-8	عالمی علامتی روپ، یو ٹی ایف-8 	
uniform	یکساں	
union and intersection (sets)	اشتراک اور تقاطع	
unique solution	یکتا حل	
uniqueness	یکتائی	
unitary matrix (quantum)	اکہرا قالب	
unit impulse function	اکائی ضرب تفاعل	
unit impulse response, unit step response, Dirac delta function, Heaviside step	اکائی ضرب ردعمل، اکائی سیڑھی ردعمل، ڈیراک ڈیلٹائی تفاعل	
unit matrix	اکائی قالب	
unit step function, Heaviside step function	اکائی سیڑھی تفاعل، ہیوی سائیڈ اکائی سیڑھی تفاعل	
unit step function: time shifted	وقتی منقولہ اکائی سیڑھی تفاعل	
universal (universal constant)	عالمگیر  (عالمگیر مستقل)	
unstable	غیر قابو، نا پائیدار	
upper, lower	بالائی، زیریں	
Upside down, upright	سر نیچے، سر اوپر یا سیدھا کھڑا	
uranium	یورینیم	
Uranus planet	یورانس	
usb: universal serial port	یو-ایس-بی	
usual: as usual	ہمیشہ کی طرح، معمول کے مطابق، معمولاً، حسب معمول	
vacuum tube	خلا نلکی	
valency	کیمیائی گرفت	
valid	کارآمد	
value, evaluation	قیمت، تخمینہ	
value: exceptional value (essential singularity)	مخصوص قیمت	
van del Pol equation (Balthasar van der Pol)	مساوات ون در پول	
variable, variables, dependent, independent	 متغیرہ , متغیرات، متغیر، آزاد اور تابع متغیرہ	
variable AC, DC	یک سمت  رومتغیر، بدلتا رو متغیر	
variable capacitor	تغیر پذیر برق گیر	
variable separation technique (ordinary differential equations)		
variance, covariance	تغیریت، باہمی تغیریت	matric
variation of parameter	مقدار معلوم بدلنے کا طریقہ	
vector	سمتیہ	
vector	سمتیہ: ایک ایسی لکیر جو ایک خاص سمت میں ایک ابتدائی نقطہ سے اختتامی نقطہ کی طرف کھینچی جائی	خط حامل:وہ خط جس کا طول اور سمت معین ہو
vector addition	جمع سمتیات	
vector analysis	سمتی تجزیہ	
vector components; matrix elements	سمتیہ کے اجزاء اور قالب کے ارکان	
vector field	سمتی میدان	
vector function; vector-valued function	سمتی تفاعل، سمت قیمت تفاعل	
vector product, cross product	صلیبی ضرب، سمتی ضرب	
vector projection	تظلیل سمتیہ	
vector quantity	سمتی مقدار: وہ مقدار جو خط حامل سے ظاہر کی جائے	
vector space, subspace	سمتی فضا، ذیلی فضا	
vector: state vector	سمتیہ حال	
vehicle	سواری	
vein	رگ	
velocity, (velocity vector)	سمتی رفتار،( سمتیہ رفتار)	
velocity field	سمتی رفتاری میدان	
velocity vector	سمتی رفتاری سمتیہ	
velocity: phase velocity, group velocity	دوری رفتار، مجموعی رفتار	
Venn diagram: John Venn	وین اشکال: جان وین	
Venus planet	زھرہ	
Verhulst equation (logistic equation, population growth); Pierre Francois Verhulst	ورہلسٹ مساوات؛ پیّر فران	
verify	تصدیق	
versus	بمقابلہ، مقابل، بالمقابل	
vertex, vertices of triangle	راس، راسیں، راسوں	
vertical	سیدھی کھڑی	 
vertical line, vertical plane	انتصابی خط، عمودی سطح	انتصابی خط، عمودی مستوی
vertical, vertical axis	انتصابی محور، عمودی	
vertically	عموداًً ، سیدھی کھڑی	
vibrating body	مرتعش جسم	
vibration	ارتعاش، لرزش	
video	ویڈیو	
violet colour	بنفشی	
viscous, non viscous	چپچپا، غیر چپچپا	لزوجت آمیز، لزوجت
viscous, (viscocity)		ملزج ،(لزوجت)
visible light	بصری شعاع	
VLSI very large scale integration	انتہائی وسیع  پیمانے   کے مخلوط ادوار	
Volt-ampere	وولٹ ایمپیئر	
voltage	برقی دباؤ	
voltage applying	برقی دباؤ دینا یا لاگو کرنا	
voltage fall	برقی دباؤ کا گھٹنا	 
voltage rise	برقی دباؤ کا چڑاو	
voltage source, voltage supply	برقی دباؤ کی سپلائی	
voltage transformation: impedance transformation	برقی دباؤ کا تبادلہ	
voltage: peak voltage	کلاہی برقی دباؤ ؟؟؟؟	
voltmeter	وولٹ پیما	
volume	حجم	
vortex, vorticity	گرداب، گردابیت	
walter andrew shewhart	والٹر انڈرو شوہارٹ	
 water way	پانی کی نالی	
wave	لہر، موج	
wave theory	نظریہ تموج	
wave: amplitude	حیطہ	
wave:carrier, modulating	سواری موج، سوار موج، سواری تعدد، سوار تعدد	
wave: compression	دباؤ کی موج	
wave: crest	فراز: موج کا وہ حصی جہاں واسطہ کے ذرات عام حالات سے بلندی پر ہوں فراز کہلاتے ہیں	
wave: frequency	تعدد: تعدادِ ارتعاش کو تعدد کہتے ہیں	
wave guide	مویج، رہبر موج	
wave: longitudinal wave	طولی موج	
wave: loudness	بلندی	
wave: mean position, extreme position	وسطی نقتہ، انتہائی مقام	
wave: periodic motion	دوری حرکت	
wave: pitch		
wave: plane	مستوی سطح	مستوی موج
wave: quality	کیفیت	
wave: rarefaction	پھیلاؤ کی موج	
wave: reflected	انعکاسی موج	
wave shapes: triangular, rectangular, square, saw tooth, sinusoidal	تکونی، مستطیل، چکور، دندان، سائن نما	
wave: time period	دوری عرصہ 	
wave: transverse wave	عرضی موج	
wave: trough	نشیب: موج کا وہ حصہ جہاں واسطہ کے ذرات عام حالت سے نیچے ہوں نشیب کہلاتے ہیں	
wave: vibration, vibrating body	ایک ارتعاش، مرتعش جسم	
wave: wave length	طولِ موج	
Weber (magnetism)	ویبر	
weber's equation (maths); Heinrich weber	ہائنرک ویبر	
Weddle's rule	قاعدہ ویڈل	
wedge	پچر	
weight function	تفاعل قدر	
weightage	قدر	
Well-conditioned	خوش خو، خوش خوئی	
wheatstone bridge (sir charles wheatstone)	ویٹ سٹون پل، چارلس ویٹ سٹون	
wide range	وسیع حد	
wien bridge oscillator	وائن مرتعش	
wilson	ولسن	
William Sealy Gosset	ولیم سیلی گوسٹ	
winding factor kw	لچھے کا جُزو ضربی	
winding, to wind, wound	لپیٹنا، لپٹا ہوا	
wind tunnel	ہوائی سرنگ	
wire	تار	مونث
wireless	بے تار	
wireless broadcast	بے تار نشریات	
wiring: house wiring diagram	گھریلو تار بندی کا نقشہ	
work integral	تکمل کام	
working	کارکردگی	
working origin; method of	ترکیب مبدا کام	
Wronskian	ورونسکی	
xor gate	بِلا شرکت آرگیٹ	
x, y, z	ایکس، وائے، زیڈ	
X ray	ایکس رے	
y11: short-circuit input admittance	قصر دور داخلی فراوانی	 
y12: short-circuit  transadmittance	قصر دور فراوانی نما	 
y21: short-circuit  transadmittance	قصر دور فراوانی نما	 
y22: short-circuit output admittance	قصر دور خارجی فراوانی	 
Young's modulus of elasticity	ینگ مقیاس لچک	
Y parameters: y11, y12, y21, y22 	Y مقدار	
zero: non zero	غیر صفر	
Zig-zag	بھل کھاتا،کنگی نما	
		
antiproton, antielectron, antineutron	ضد پروٹان، ضد الیکٹران، ضد نیوٹران	
photon	نوریہ	
ion	بارداریہ	
anion	منفی بارداریہ	
cation	مثبت بارداریہ	
dianion	دوہرا منفی بارداریہ	
dication	دوہرا مثبت بارداریہ	
ionization	بارداری عمل	
charged	باردار	
ionized	باردارہ	
ionic	بارداروی	
ionic compound	بارداروی مرکب	
monoatomic ion	یک جوہری بارداریہ	
polyatomic ion	کثیر جوہری بارداریہ	
electrode	برقیرہ	
anode	مثبت برقیرہ	
cathode	منفی برقیرہ	
spin (intrinsic spin)	خلقی گھماو	
intrinsic	خلقی	
extrinsic	غیر خلقی	
integrated circuit (IC)	مخلوط دور	
input (the thing being input)	ادخال	
output (the thing being output)	اخراج	
to input	داخل کرنا	
to output	خارج کرنا	
input( the point where things are input)	مدخل	
output (the point where things are output)	مخرج	
port (computer port)	روزن	
cross symbol that crosses out	کاٹا	
quantum	کوانٹم	
electronic configuration (in an atom)	برقیائی تقسیم	
microprocessor		
microcontroller		
computer	حاسب	
calculator	عداد	
reciprocal		
converse		
inverse		
negate	نفی کرنا	
gyroscope	مسکن چرخی	
artificial	مصنوعی	
synthesis	تعلیف	
synthesizer	معلف	
synthetic	تعلیفی	
avagadro constant	ایوگادرو مستقل	
resolution	تحلیل	
density of states	حالتوں کی کثافت	
SI (system of units)	اکائیوں کا بین الاقوامی نظام	
stoichiometry	کیمیائی مقادیر پیمائش	
wavefunction	موج تفاعل	
numerical difference method	عددی فرق کا طریقہ	
vice versa	معکوس عکس، معکوس امر	
reactive (chemistry)	متعامل،  عامل	
product (chemistry)	ماحصل	
organic chemistry	نامیاتی کیمیا	
inorganic chemistry	غیر نامیاتی کمییا	
electronic structure	برقیاتی ساخت	

